Afghanistan	afgano; afgana
Nepal	nepalese
Nicaragua	nicaraguense; nicaraguegno
Niger	nigerino
Nigeria	nigeriano
Niue	niueano
Norvegia	norvegese
Nuova Caledonia	neocaledoniano
Nuova Zelanda	neozelandese
Isola Norfolk	dell'Isola Norfolk
Oman	omano
Paesi Bassi	dei Paesi Bassi; olandese
Pakistan	pakistano
Palau	palauano
Autorità Nazionale Palestinese	palestinese
Panamá	panamense
Papua Nuova Guinea	papuano
Paraguay	paraguaiano
Perù	peruviano
Isole Pitcairn	dell'Isole Pitcairn
Polinesia francese	polinesiano
Polonia	polacco
Portogallo	portoghese
Porto Rico	portoricano
Qatar	qatariano
Repubblica Ceca	ceco
Repubblica Centrafricana	centrafricano; centroafricano
Repubblica Dominicana	dominicano
Réunion	della Riunione
Romania	romeno; rumeno
Ruanda	ruandese
Russia	russo
Sahara Occidentale	sahraui
Saint Kitts e Nevis	di Saint Kitts e Nevis
Santa Lucia	di Saint Lucia
Saint Vincent e Grenadine	di Saint Vincent e Grenadine
Saint-Pierre e Miquelon	di Saint-Pierre e Miquelon
Isole Salomone	delle Isole Salomone
Samoa	samoano; samoana
San Marino	sammarinese
Sant'Elena	di Sant'Elena
São Tomé e Príncipe	di São Tomé e Príncipe
Seychelles	seycellese
Senegal	senegalese
Serbia	serbo; serba
Sierra Leone	sierraleonese
Singapore	singaporiano; singaporiana
Siria	siriano; siriana
Slovacchia	slovacco; slovacca
Slovenia	sloveno; slovena
Somalia	somalo; somala
Spagna	spagnolo; spagnola
Saint-Martin	di Sri Lanka
Stati Uniti	americano; americana; statunitense
Sudafrica	sudafricano
Sudan	sudanese
Suriname	surinamese
Svalbard e Jan Mayen	di Svalbard e Jan Mayen
Svezia	svedese
Svizzera	svizzero; svizzera; elvetico; elvetica
Swaziland	swazi
Tagikistan	tagicco; tagicca
Taiwan	taiwanese; cinense
Tanzania	tanzaniano; tanzaniana
Thailandia	thailandese
Timor Est	di Timor Est
Togo	togolese
Tokelau	tokelauano
Tonga	tongano
Trinidad e Tobago	di Trinidad e Tobago
Tunisia	tunisino; tunisina
Turchia	turco; turca
Turkmenistan	turkmeno; turkmena; turcomanno; turcomanna
Turks e Caicos	delle Turks e Caicos
Tuvalu	tuvaluano; tuvaluana
Ucraina	ucraino; ucraina
Uganda	ugandese
Ungheria	ungherese; magiaro
Uruguay	uruguaiano
Uzbekistan	uzbeko; uzbeco
Vanuatu	di Vanuatu
Città del Vaticano	della Santa Sede; vaticano
Venezuela	venezuelano
Isole Vergini britanniche	delle Isole Vergini Britanniche
Isole Vergini americane	delle Isole Vergini Statunitensi
Vietnam	vietnamita
Wallis e Futuna	di Wallis e Futuna
Yemen	yemenita
Zambia	zambiano
Zimbabwe	zimbabwano
Isole Salomone	salomonico; salomonica
